station,n_measurements,mean_moisture,std_moisture,min_moisture,max_moisture,first_date,last_date
Canizal,85684,0.226,0.084,0.03,0.625,2015-01-01 00:00:00,2025-01-01 00:00:00
Carretoro,82102,0.052,0.037,0.0,0.212,2015-01-01 00:00:00,2025-01-01 00:00:00
CasaPeriles,86870,0.121,0.051,0.037,0.284,2015-01-01 00:00:00,2025-01-01 00:00:00
ConcejodelMonte,85831,0.181,0.075,0.03,0.458,2015-01-01 00:00:00,2025-01-01 00:00:00
ElCoto,79142,0.035,0.02,0.001,0.146,2015-01-01 00:00:00,2025-01-01 00:00:00
ElTomillar,73431,0.03,0.022,0.0,0.238,2015-01-01 00:00:00,2025-01-01 00:00:00
Granja-g,84293,0.098,0.062,0.001,0.396,2015-01-01 00:00:00,2025-01-01 00:00:00
Guarrati,86696,0.293,0.169,0.05,0.991,2015-01-01 00:00:00,2025-01-01 00:00:00
LaAtalaya,24584,0.105,0.069,0.001,0.41,2015-01-01 15:00:00,2017-12-11 10:00:00
LaCruzdeElias,86350,0.151,0.074,0.001,0.529,2015-01-01 00:00:00,2025-01-01 00:00:00
LasArenas,85947,0.189,0.075,0.029,0.449,2015-01-01 00:00:00,2025-01-01 00:00:00
LasBodegas,81476,0.15,0.051,0.056,0.413,2015-01-07 15:00:00,2025-01-01 00:00:00
LasBrozas,80713,0.078,0.042,0.001,0.229,2015-01-01 00:00:00,2025-01-01 00:00:00
LasEritas,87306,0.274,0.07,0.133,0.617,2015-01-01 00:00:00,2025-01-01 00:00:00
LasTresRayas,82955,0.086,0.07,0.0,0.526,2015-01-01 00:00:00,2024-12-16 11:00:00
LasVacas,85947,0.085,0.05,0.001,0.281,2015-01-01 00:00:00,2025-01-01 00:00:00
LasVictorias,77385,0.031,0.025,0.0,0.159,2015-01-01 00:00:00,2025-01-01 00:00:00
LlanosdelaBoveda,85958,0.193,0.092,0.001,0.628,2015-01-01 00:00:00,2025-01-01 00:00:00
Paredinas,49386,0.031,0.029,0.001,0.36,2015-01-01 00:00:00,2021-11-04 08:00:00
Zamarron,86632,0.082,0.051,0.004,0.239,2015-01-01 00:00:00,2025-01-01 00:00:00
